Countries ;%GDP Agriculture2007;%GDP Industry2007;%GDP Services2007;Children Per Women2007;Cumulative CO2 Emissions2007;Democracy Score2007;Energy Use Total2007;Extreme Poverty headcount ratio at $1.25 a day (PPP) (% of population)2007;GDP Per Capita2007;GDP Total2007;HDI2007;Life Expectancy2007;Murders Total Deaths2007;Population Density2007;Population Total2007;Poverty headcount ratio at $2 a day (PPP) (% of population)2007;Working Hours per Week2007
abkhazia;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
libya;2.0827;76.4181;21.4993;2.6900;1430850666.6468;-7.0000;23166081.0000;X;7736.5443;46597616200.7065;0.7550;74.0450;171.0000;3.4230;6023053.0000;X;X
liechtenstein;X;X;X;X;X;X;X;X;82308.4370;2902689337.8157;X;X;X;220.4130;35266.0000;X;X
lithuania;3.9405;32.5982;63.4614;1.3860;242150333.3400;10.0000;9452750.0000;X;5839.1456;19710725000.0000;0.8030;71.3900;313.0000;51.7460;3379043.0000;X;X
luxembourg;0.3990;16.1800;83.4210;1.6230;607188999.9963;X;4208341.0000;X;56285.2768;27066319404.9017;0.8680;79.3580;5.0000;183.9570;475714.0000;X;29.6538
macao. china;0.0000;19.2202;80.7798;0.9060;37729999.9991;X;X;X;27440.5721;13876944294.4311;X;79.1030;X;19450.3460;505709.0000;X;X
macedonia. fyr;10.5618;30.9553;58.4829;1.4860;180231333.3300;9.0000;3042018.0000;X;2110.6857;4322519752.1004;0.7120;74.3270;106.0000;79.6450;2047922.0000;X;X
madagascar;25.6879;16.2591;58.0531;4.8700;58523666.6674;7.0000;X;X;255.0942;4841663812.6614;0.4760;62.0750;2128.0000;32.3320;18980391.0000;X;X
malawi;30.3049;16.3213;53.3738;5.8430;28603666.6666;6.0000;X;X;157.6214;2192482943.0820;0.3670;50.9200;2318.0000;114.6940;13589404.0000;X;X
malaysia;10.1154;47.4961;42.3885;2.0930;2828004666.7600;3.0000;69969609.0000;0.0000;4905.1214;133247631578.9470;0.7460;73.9730;2358.0000;82.0110;27051142.0000;2.9300;X
maldives;4.3395;19.4329;76.2276;2.4100;9130000.0001;X;299000.0000;X;3500.1110;1080294818.8651;0.6400;75.2380;5.0000;1018.5870;303539.0000;X;X
mali;36.5410;24.1875;X;6.8060;18094999.9999;7.0000;X;X;258.0305;3617790524.8640;0.3380;52.4670;2029.0000;11.3050;14020786.0000;X;X
malta;2.3874;38.1735;59.3678;1.3750;72669666.6666;X;877123.0000;X;10781.0497;4409988375.5561;0.8260;78.6950;3.0000;1305.7220;412608.0000;X;X
marshall islands;X;X;X;X;1305333.3333;X;32000.0000;X;2464.9907;129379964.2808;X;X;1.0000;289.9830;52487.0000;X;X
martinique;X;X;X;1.9240;62098666.6670;X;X;X;X;X;X;80.0140;X;363.9750;401101.0000;X;X
mauritania;25.5743;39.6004;34.8253;4.9900;58938000.0007;4.0000;X;X;609.9344;1959519170.3432;0.4420;60.5850;438.0000;3.1330;3212672.0000;X;X
mauritius;4.4805;26.9627;68.5568;1.6280;63283000.0010;10.0000;1194000.0000;X;4650.9854;5862115925.6808;0.7140;72.7490;33.0000;625.3190;1275650.0000;X;X
mayotte;X;X;X;4.3000;X;X;X;X;X;X;X;77.7990;X;497.1180;185922.0000;X;X
mexico;3.6420;34.9477;61.4103;2.3790;13066698333.4356;8.0000;175936968.0000;X;6333.0824;691704027302.2860;0.7550;76.1230;9591.0000;55.7760;109220753.0000;X;35.9888
micronesia. fed. sts.;X;X;X;3.6610;502333.3333;X;X;X;2134.3688;235138826.9405;0.6370;68.2570;1.0000;156.8260;110092.0000;X;X
moldova;12.0098;14.7769;73.2133;1.4880;123900333.3410;8.0000;2935890.0000;0.9200;547.6738;1958976512.1718;0.6380;68.1950;320.0000;108.4620;3671540.0000;6.6100;X
monaco;X;X;X;X;X;X;X;X;98397.0899;3472925286.4341;X;X;0.0000;23687.9190;35295.0000;X;X
mongolia;20.4581;41.8919;37.6500;2.3150;311439333.3293;10.0000;3114445.0000;X;709.7234;1862675511.5340;0.6310;65.9470;83.0000;1.6750;2624509.0000;X;X
montenegro;9.1084;20.8728;70.0188;1.7340;7927333.3330;9.0000;775129.0000;0.1500;2164.6116;1359293847.7300;0.7670;74.0020;X;45.4650;627962.0000;0.4500;X
montserrat;X;X;X;X;1415333.3334;X;X;X;X;X;X;X;X;57.3040;5845.0000;X;X
morocco;13.7308;27.3143;58.9549;2.3980;1005337666.6774;-6.0000;14350182.0000;2.5200;1658.8554;52239577756.1013;0.5650;69.5640;328.0000;69.4460;31011199.0000;14.0300;X
mozambique;27.7096;25.8790;46.4114;5.5880;109453666.6677;5.0000;9237990.0000;X;339.0638;7395431382.9155;0.2990;48.2840;4066.0000;27.2100;21811326.0000;X;X
myanmar;X;20.4091;36.2681;2.0750;344783999.9981;-8.0000;15594542.0000;X;X;X;0.4590;64.0370;7478.0000;69.3430;46915826.0000;X;X
namibia;9.3617;35.5970;55.0414;3.4360;29388333.3353;6.0000;1344838.0000;X;2598.5127;5610147245.0218;0.6070;58.8610;255.0000;2.6190;2158984.0000;X;X
nauru;X;X;X;X;4957333.3338;X;X;X;X;X;X;X;1.0000;483.5240;10154.0000;X;X
nepal;33.5607;17.0937;49.3456;3.0460;54908333.3338;6.0000;9290894.0000;X;244.5373;6938460637.2239;0.4370;65.7310;3617.0000;192.7820;28373838.0000;X;X
netherlands;2.0778;24.6843;73.2379;1.7180;9610380999.6490;10.0000;79349595.0000;X;26968.6177;441791696640.8020;0.9020;79.8240;200.0000;395.9610;16443483.0000;X;26.7692
netherlands antilles;X;X;X;1.9900;115951000.0013;X;X;X;X;X;X;75.9810;X;239.7350;191788.0000;X;X
new caledonia;X;X;X;2.2270;93301999.9984;X;X;X;X;X;X;75.0500;X;12.8630;238926.0000;X;X
new zealand;X;X;X;2.1100;1397014666.6704;10.0000;17123879.0000;X;15392.5027;65084119223.7571;0.9030;80.1450;55.0000;15.6450;4232461.0000;X;34.0654
ngorno-karabakh;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
